,test_benchmark,model,score,value,train_benchmark,fold,sample_count_dimension_factor,budget,d_model,d_k,d_v,fc_size,n_heads,d_ff,n_layers
0,train,transformer,MSE,0.13343147933483124,random_no_constants,0,50,10,100,40,30,20,2,80,3
1,train,transformer,Misrankings score,0.5272809617918314,random_no_constants,0,50,10,100,40,30,20,2,80,3
2,train,transformer,Loss,0.8081295471947318,random_no_constants,0,50,10,100,40,30,20,2,80,3
3,train,dummy,MSE,0.12094378471374512,random_no_constants,0,50,10,100,40,30,20,2,80,3
4,train,dummy,Misrankings score,0.5312829380764164,random_no_constants,0,50,10,100,40,30,20,2,80,3
5,train,dummy,Loss,0.813744489354903,random_no_constants,0,50,10,100,40,30,20,2,80,3
6,val,transformer,MSE,0.13312214612960815,random_no_constants,0,50,10,100,40,30,20,2,80,3
7,val,transformer,Misrankings score,0.520073834794647,random_no_constants,0,50,10,100,40,30,20,2,80,3
8,val,transformer,Loss,0.8264713619475739,random_no_constants,0,50,10,100,40,30,20,2,80,3
9,val,dummy,MSE,0.12402548640966415,random_no_constants,0,50,10,100,40,30,20,2,80,3
10,val,dummy,Misrankings score,0.5349177049684664,random_no_constants,0,50,10,100,40,30,20,2,80,3
11,val,dummy,Loss,0.837579194981931,random_no_constants,0,50,10,100,40,30,20,2,80,3
12,tune,transformer,MSE,0.13136489689350128,random_no_constants,0,50,10,100,40,30,20,2,80,3
13,tune,transformer,Misrankings score,0.5302265074992347,random_no_constants,0,50,10,100,40,30,20,2,80,3
14,tune,transformer,Loss,0.7991399398219681,random_no_constants,0,50,10,100,40,30,20,2,80,3
15,tune,dummy,MSE,0.12352696806192398,random_no_constants,0,50,10,100,40,30,20,2,80,3
16,tune,dummy,Misrankings score,0.5431588613406795,random_no_constants,0,50,10,100,40,30,20,2,80,3
17,tune,dummy,Loss,0.8202447058515987,random_no_constants,0,50,10,100,40,30,20,2,80,3
18,test,transformer,MSE,0.13136489689350128,random_no_constants,0,50,10,100,40,30,20,2,80,3
19,test,transformer,Misrankings score,0.5302265074992347,random_no_constants,0,50,10,100,40,30,20,2,80,3
20,test,transformer,Loss,0.7991399398219681,random_no_constants,0,50,10,100,40,30,20,2,80,3
21,test,dummy,MSE,0.12352696806192398,random_no_constants,0,50,10,100,40,30,20,2,80,3
22,test,dummy,Misrankings score,0.5431588613406795,random_no_constants,0,50,10,100,40,30,20,2,80,3
23,test,dummy,Loss,0.8202447058515987,random_no_constants,0,50,10,100,40,30,20,2,80,3
24,test,ELA,Loss,0.8990347033210677,random_no_constants,0,50,10,100,40,30,20,2,80,3
0,train,transformer,MSE,0.058070287108421326,random_no_constants,1,50,10,100,30,20,80,3,60,3
1,train,transformer,Misrankings score,0.7065958498023716,random_no_constants,1,50,10,100,30,20,80,3,60,3
2,train,transformer,Loss,0.8992533434810102,random_no_constants,1,50,10,100,30,20,80,3,60,3
3,train,dummy,MSE,0.12157827615737915,random_no_constants,1,50,10,100,30,20,80,3,60,3
4,train,dummy,Misrankings score,0.5309206192358367,random_no_constants,1,50,10,100,30,20,80,3,60,3
5,train,dummy,Loss,0.8174767765918721,random_no_constants,1,50,10,100,30,20,80,3,60,3
6,val,transformer,MSE,0.0633561909198761,random_no_constants,1,50,10,100,30,20,80,3,60,3
7,val,transformer,Misrankings score,0.7079680049223196,random_no_constants,1,50,10,100,30,20,80,3,60,3
8,val,transformer,Loss,0.8973881521311935,random_no_constants,1,50,10,100,30,20,80,3,60,3
9,val,dummy,MSE,0.1289035528898239,random_no_constants,1,50,10,100,30,20,80,3,60,3
10,val,dummy,Misrankings score,0.5332256575911398,random_no_constants,1,50,10,100,30,20,80,3,60,3
11,val,dummy,Loss,0.8121325754150189,random_no_constants,1,50,10,100,30,20,80,3,60,3
12,tune,transformer,MSE,0.060936976224184036,random_no_constants,1,50,10,100,30,20,80,3,60,3
13,tune,transformer,Misrankings score,0.6857973676155494,random_no_constants,1,50,10,100,30,20,80,3,60,3
14,tune,transformer,Loss,0.9051204510008217,random_no_constants,1,50,10,100,30,20,80,3,60,3
15,tune,dummy,MSE,0.11442547291517258,random_no_constants,1,50,10,100,30,20,80,3,60,3
16,tune,dummy,Misrankings score,0.5281603917967554,random_no_constants,1,50,10,100,30,20,80,3,60,3
17,tune,dummy,Loss,0.80888358551529,random_no_constants,1,50,10,100,30,20,80,3,60,3
18,test,transformer,MSE,0.060936976224184036,random_no_constants,1,50,10,100,30,20,80,3,60,3
19,test,transformer,Misrankings score,0.6857973676155494,random_no_constants,1,50,10,100,30,20,80,3,60,3
20,test,transformer,Loss,0.9051204510008217,random_no_constants,1,50,10,100,30,20,80,3,60,3
21,test,dummy,MSE,0.11442547291517258,random_no_constants,1,50,10,100,30,20,80,3,60,3
22,test,dummy,Misrankings score,0.5281603917967554,random_no_constants,1,50,10,100,30,20,80,3,60,3
23,test,dummy,Loss,0.80888358551529,random_no_constants,1,50,10,100,30,20,80,3,60,3
24,test,ELA,Loss,0.897361831350734,random_no_constants,1,50,10,100,30,20,80,3,60,3
0,train,transformer,MSE,0.06493149697780609,random_no_constants,2,50,10,70,10,10,20,3,20,2
1,train,transformer,Misrankings score,0.692193675889328,random_no_constants,2,50,10,70,10,10,20,3,20,2
2,train,transformer,Loss,0.8909275886572874,random_no_constants,2,50,10,70,10,10,20,3,20,2
3,train,dummy,MSE,0.12279150635004044,random_no_constants,2,50,10,70,10,10,20,3,20,2
4,train,dummy,Misrankings score,0.5308053359683794,random_no_constants,2,50,10,70,10,10,20,3,20,2
5,train,dummy,Loss,0.8130661895508088,random_no_constants,2,50,10,70,10,10,20,3,20,2
6,val,transformer,MSE,0.06348898261785507,random_no_constants,2,50,10,70,10,10,20,3,20,2
